38 53 12 11 28 433 10076 73 44 15860 11 535 30 12 104 7|27 185 22 100 6567 288
27 185 22 100 6567 288|15 120 51 44 12029 262 10 1
15 120 51 44 12029 262 10 1|28 566 11 100 6567 288 7
28 566 11 100 6567 288 7|483 73 4 2048 9 1289 16 154
483 73 4 2048 9 1289 16 154|53 28 185 11 100 6567 288 21 216 16 119 15860 7
53 28 185 11 100 6567 288 21 216 16 119 15860 7|1 15860 22 27 382
1 15860 22 27 382|12 41 37 27 734
12 41 37 27 734|5 85 205 4 1560
5 85 205 4 1560|12 41 28 324 9 10410 88 9 100 7800
12 41 28 324 9 10410 88 9 100 7800|53 51 2057 110 4 2048 20 14
53 51 2057 110 4 2048 20 14|24 118 111 30 978 88 284
24 118 111 30 978 88 284|251 9 74
4 43 372 281 14|15 4 69 29 334
15 4 69 29 334|4 69 3802 10 2017 200 27 12646 2025
4 69 3802 10 2017 200 27 12646 2025|1751 25 1 9 119 70 199 995
1751 25 1 9 119 70 199 995|4 143 1 41 35 650 9 29 6850
4 143 1 41 35 650 9 29 6850|5 149 9 29 6850 14
5 149 9 29 6850 14|25 53 4 2495 20 56
25 53 4 2495 20 56|5 69 1527 28 12174 3685 9 6 7113 14
5 69 1527 28 12174 3685 9 6 7113 14|28 12389 1009 1 6 5799 4421 3303 9 29 309 1
28 12389 1009 1 6 5799 4421 3303 9 29 309 1|56 28 3114 69 29 27 2009
56 28 3114 69 29 27 2009|94 4 78 70 1 433 4 46 16
94 4 78 70 1 433 4 46 16|231 384 27 185 16556 16 82 4195 9 6 433 2791 125 29 827 209 9 302 82 249 382 19 1206 53 1065
231 384 27 185 16556 16 82 4195 9 6 433 2791 125 29 827 209 9 302 82 249 382 19 1206 53 1065|5 679 27 382 38 5 118 37 302 48
5 679 27 382 38 5 118 37 302 48|120 70 156 22 783
120 70 156 22 783|15860 125 386
26 98 4 19122 1793 91 9 302 48|5 118 37 110
58 21 31 24 31 7|4 69 31 28 325
4 69 31 28 325|12 22 36 16 44 29 1414
12 22 36 16 44 29 1414|5 69 1258 25 4 36
5 69 1258 25 4 36|251 9 20
9462 22 117 120 294|5 80 9 427 15860 38 5 32 13 46 53 5 39 321
5 80 9 427 15860 38 5 32 13 46 53 5 39 321|4 125 237 19 238 9462
4 125 237 19 238 9462|24 237 19 4
47 11 58 35 98 235|627 98 24 30 24 125 332 60
627 98 24 30 24 125 332 60|43 24 170 321 9 386 45 7
43 24 170 321 9 386 45 7|53 24 386 24 69 386 19 1206
58 77 18 4 9 804 99 308|19 808 175 70 508 6 9028 18 1 69 29 1435
19 808 175 70 508 6 9028 18 1 69 29 1435|185 4 284 30 6 798 9 408 26
5 31 37 80 9 222 4 26 1631 14|12 22 37 1631 9 2530 192 14
12 22 37 1631 9 2530 192 14|5 943 4 70 1860 393 9 658 9 27 535 1
5 943 4 70 1860 393 9 658 9 27 535 1|9 1779 36 1 40 28 433
9 1779 36 1 40 28 433|51 43 27 433
110 4 255 386 40 6 404 18 28 6256 782 1291 14|1 1 14
